bowler,total_runs,ball,overs,economy_rate
A Ashish Reddy,400,270,45.0,8.88888888888889
A Badoni,37,25,4.166666666666667,8.879999999999999
A Chandila,245,234,39.0,6.282051282051282
A Choudhary,144,108,18.0,8.0
A Dananjaya,47,25,4.166666666666667,11.28
A Flintoff,106,66,11.0,9.636363636363637
A Kamboj,115,68,11.333333333333334,10.147058823529411
A Kumble,1089,983,163.83333333333334,6.646998982706002
A Mishra,4193,3444,574.0,7.304878048780488
A Mithun,477,312,52.0,9.173076923076923
A Nehra,2537,1974,329.0,7.711246200607903
A Nel,31,18,3.0,10.333333333333334
A Nortje,1614,1097,182.83333333333334,8.82771194165907
A Singh,639,486,81.0,7.888888888888889
A Symonds,694,540,90.0,7.711111111111111
A Uniyal,67,38,6.333333333333333,10.578947368421053
A Zampa,562,425,70.83333333333333,7.934117647058824
AA Chavan,339,255,42.5,7.976470588235294
AA Jhunjhunwala,130,88,14.666666666666666,8.863636363636363
AA Kazi,21,13,2.1666666666666665,9.692307692307693
AA Noffke,41,25,4.166666666666667,9.84
AB Agarkar,1174,820,136.66666666666666,8.590243902439026
AB Dinda,2103,1589,264.8333333333333,7.940843297671492
AB McDonald,263,188,31.333333333333332,8.393617021276595
AC Gilchrist,0,1,0.16666666666666666,0.0
AC Thomas,416,327,54.5,7.63302752293578
AC Voges,76,56,9.333333333333334,8.142857142857142
AD Mascarenhas,365,310,51.666666666666664,7.064516129032258
AD Mathews,1095,807,134.5,8.141263940520446
AD Russell,2691,1771,295.1666666666667,9.116883116883116
AF Milne,339,217,36.166666666666664,9.373271889400922
AG Murtaza,322,269,44.833333333333336,7.182156133828996
AJ Finch,67,44,7.333333333333333,9.136363636363637
AJ Hosein,41,24,4.0,10.25
AJ Tye,1005,714,119.0,8.445378151260504
AK Markram,173,123,20.5,8.439024390243903
AL Menaria,144,113,18.833333333333332,7.646017699115045
AM Nayar,323,239,39.833333333333336,8.10878661087866
AM Rahane,5,6,1.0,5.0
AM Salvi,205,156,26.0,7.884615384615385
AN Ahmed,515,362,60.333333333333336,8.535911602209945
AP Dole,114,73,12.166666666666666,9.36986301369863
AR Patel,3824,3152,525.3333333333334,7.279187817258883
AS Joseph,707,454,75.66666666666667,9.343612334801762
AS Rajpoot,844,567,94.5,8.931216931216932
AS Raut,45,30,5.0,9.0
AS Roy,191,142,23.666666666666668,8.070422535211268
AU Rashid,91,60,10.0,9.1
AUK Pathan,63,41,6.833333333333333,9.219512195121952
Abdul Samad,113,55,9.166666666666666,12.327272727272728
Abdur Razzak,29,14,2.3333333333333335,12.428571428571427
Abhishek Sharma,396,278,46.333333333333336,8.546762589928058
Akash Deep,324,175,29.166666666666668,11.108571428571429
Akash Madhwal,431,279,46.5,9.268817204301076
Akash Singh,227,141,23.5,9.659574468085106
Aman Hakim Khan,13,6,1.0,13.0
Anand Rajan,206,162,27.0,7.62962962962963
Ankit Sharma,453,375,62.5,7.248
Ankit Soni,145,112,18.666666666666668,7.767857142857142
Anureet Singh,636,430,71.66666666666667,8.874418604651162
Arjun Tendulkar,117,83,13.833333333333334,8.457831325301205
Arshad Khan,282,153,25.5,11.058823529411764
Arshad Khan (2),25,13,2.1666666666666665,11.53846153846154
Arshdeep Singh,2097,1453,242.16666666666666,8.659325533379215
Atharva Taide,4,1,0.16666666666666666,24.0
Avesh Khan,2010,1390,231.66666666666666,8.676258992805757
Azhar Mahmood,707,552,92.0,7.684782608695652
Azmatullah Omarzai,194,131,21.833333333333332,8.885496183206108
B Akhil,246,193,32.166666666666664,7.647668393782384
B Chipli,20,6,1.0,20.0
B Geeves,91,49,8.166666666666666,11.142857142857144
B Kumar,5051,4060,676.6666666666666,7.464532019704434
B Laughlin,284,179,29.833333333333332,9.5195530726257
B Lee,1126,916,152.66666666666666,7.3755458515283845
B Stanlake,200,150,25.0,8.0
BA Bhatt,408,303,50.5,8.07920792079208
BA Stokes,1023,723,120.5,8.489626556016598
BAW Mendis,306,248,41.333333333333336,7.403225806451612
BB Sran,767,516,86.0,8.918604651162791
BCJ Cutting,430,288,48.0,8.958333333333334
BE Hendricks,239,157,26.166666666666668,9.13375796178344
BJ Hodge,310,238,39.666666666666664,7.815126050420169
BJ Rohrer,12,7,1.1666666666666667,10.285714285714285
BMAJ Mendis,36,30,5.0,7.2
BW Hilfenhaus,497,390,65.0,7.6461538461538465
Basil Thampi,862,539,89.83333333333333,9.595547309833025
Bipul Sharma,581,436,72.66666666666667,7.9954128440366965
C Ganapathy,13,6,1.0,13.0
C Green,675,462,77.0,8.766233766233766
C Munro,15,12,2.0,7.5
C Nanda,58,50,8.333333333333334,6.959999999999999
C Sakariya,610,460,76.66666666666667,7.956521739130435
C de Grandhomme,323,230,38.333333333333336,8.426086956521738
CH Gayle,755,584,97.33333333333333,7.756849315068494
CH Morris,2377,1801,300.1666666666667,7.91893392559689
CJ Anderson,525,315,52.5,10.0
CJ Dala,34,19,3.1666666666666665,10.736842105263158
CJ Green,24,17,2.8333333333333335,8.470588235294118
CJ Jordan,1111,717,119.5,9.297071129707113
CJ McKay,60,42,7.0,8.571428571428571
CK Kapugedera,49,17,2.8333333333333335,17.294117647058822
CK Langeveldt,199,165,27.5,7.236363636363636
CL White,86,46,7.666666666666667,11.217391304347826
CR Brathwaite,384,266,44.333333333333336,8.661654135338345
CR Woakes,674,463,77.16666666666667,8.734341252699783
CRD Fernando,306,249,41.5,7.373493975903615
CV Varun,2042,1624,270.6666666666667,7.544334975369457
D Brevis,8,3,0.5,16.0
D Jansen,53,28,4.666666666666667,11.357142857142856
D Kalyankrishna,88,50,8.333333333333334,10.559999999999999
D Pretorius,242,166,27.666666666666668,8.74698795180723
D Salunkhe,80,51,8.5,9.411764705882353
D Wiese,447,307,51.166666666666664,8.736156351791532
D du Preez,56,43,7.166666666666667,7.813953488372093
DA Warner,2,2,0.3333333333333333,6.0
DAJ Bracewell,32,25,4.166666666666667,7.68
DB Ravi Teja,28,18,3.0,9.333333333333334
DE Bollinger,716,600,100.0,7.16
DG Nalkande,150,89,14.833333333333334,10.112359550561797
DJ Bravo,4436,3296,549.3333333333334,8.075242718446601
DJ Harris,26,18,3.0,8.666666666666666
DJ Hooda,535,384,64.0,8.359375
DJ Hussey,485,323,53.833333333333336,9.009287925696594
DJ Mitchell,97,51,8.5,11.411764705882353
DJ Muthuswami,108,84,14.0,7.714285714285714
DJ Thornely,40,44,7.333333333333333,5.454545454545455
DJ Willey,277,221,36.833333333333336,7.520361990950226
DJG Sammy,354,244,40.666666666666664,8.704918032786885
DJM Short,23,18,3.0,7.666666666666667
DL Chahar,2243,1746,291.0,7.707903780068729
DL Vettori,894,785,130.83333333333334,6.83312101910828
DNT Zoysa,100,69,11.5,8.695652173913043
DP Nannes,815,689,114.83333333333333,7.097242380261249
DP Vijaykumar,205,159,26.5,7.735849056603773
DR Sams,528,389,64.83333333333333,8.143958868894602
DR Smith,825,557,92.83333333333333,8.88689407540395
DS Kulkarni,2513,1876,312.6666666666667,8.03731343283582
DT Christian,1218,922,153.66666666666666,7.926247288503254
DW Steyn,2583,2282,380.3333333333333,6.791411042944786
F du Plessis,16,6,1.0,16.0
FA Allen,136,91,15.166666666666666,8.967032967032967
FH Edwards,160,150,25.0,6.4
FY Fazal,20,12,2.0,10.0
Fazalhaq Farooqi,229,162,27.0,8.481481481481481
G Coetzee,357,216,36.0,9.916666666666666
GB Hogg,585,466,77.66666666666667,7.532188841201716
GC Viljoen,229,146,24.333333333333332,9.41095890410959
GD McGrath,366,329,54.833333333333336,6.674772036474164
GD Phillips,40,31,5.166666666666667,7.741935483870967
GH Vihari,48,43,7.166666666666667,6.697674418604651
GHS Garton,136,97,16.166666666666668,8.412371134020617
GJ Maxwell,1311,965,160.83333333333334,8.151295336787564
GR Napier,28,24,4.0,7.0
GS Sandhu,86,48,8.0,10.75
Gagandeep Singh,142,84,14.0,10.142857142857142
Gulbadin Naib,12,6,1.0,12.0
Gurkeerat Singh,97,82,13.666666666666666,7.097560975609756
Gurnoor Brar,42,21,3.5,12.0
H Sharma,62,30,5.0,12.4
HF Gurney,239,169,28.166666666666668,8.485207100591715
