match_id,total_runs
335982,304
335983,447
335984,261
335985,331
335986,222
335987,334
335988,285
335989,410
335990,431
335991,298
335992,273
335993,299
335994,309
335995,320
335996,343
335997,275
335998,372
335999,331
336000,347
336001,341
336002,336
336003,347
336004,295
336005,219
336006,253
336007,292
336008,207
336009,375
336010,253
336011,281
336012,248
336013,344
336014,385
336015,315
336016,287
336017,243
336018,314
336019,401
336020,376
336021,135
336022,212
336023,329
336024,331
336025,204
336026,312
336027,297
336028,377
336029,238
336031,353
336032,355
336033,412
336034,309
336035,349
336036,291
336037,295
336038,279
336039,228
336040,327
392181,311
392182,191
392183,162
392184,205
392185,266
392186,237
392188,344
392189,369
392190,333
392191,341
392192,324
392194,299
392195,251
392196,334
392197,282
392198,290
392199,282
392200,235
392201,298
392202,290
392203,287
392204,282
392205,283
392206,308
392207,307
392208,299
392209,278
392210,344
392211,311
392212,271
392213,212
392214,359
392215,234
392216,337
392217,281
392218,298
392219,248
392220,279
392221,349
392222,241
392223,334
392224,261
392225,288
392226,243
392227,298
392228,326
392229,267
392230,286
392231,377
392232,269
392233,203
392234,208
392235,331
392236,328
392237,307
392238,295
392239,280
419106,311
419107,420
419108,288
419109,271
419110,349
419111,283
419112,407
419113,273
419114,338
419115,185
419116,375
419117,334
419118,302
419119,306
419120,332
419121,291
419122,311
419123,306
419124,335
419125,361
419126,299
419127,327
419128,349
419129,337
419130,303
419131,314
419132,327
419133,323
419134,309
419135,338
419136,365
419137,469
419138,293
419139,404
419140,331
419141,316
419142,306
419143,310
419144,348
419145,370
419146,312
419147,277
419148,322
419149,223
419150,311
419151,289
419152,327
419153,282
419154,262
419155,225
419156,352
419157,325
419158,265
419159,387
419160,279
419161,268
419162,333
419163,246
419164,168
419165,314
501198,304
501199,278
501200,323
501201,194
501202,225
501203,317
501204,303
501205,283
501206,381
501207,299
501208,317
501209,319
501210,366
501211,345
501212,331
501213,377
501214,166
501215,266
501216,320
501218,242
501219,258
501220,342
501221,320
501222,346
501223,433
501224,307
501225,220
501226,259
501227,321
501228,286
501229,203
501230,279
501231,189
501232,336
501233,276
501234,239
501235,287
501236,311
501237,295
501238,281
501239,318
501240,296
501241,299
501242,295
501243,354
501244,325
501245,175
501246,324
501247,253
501248,239
501249,329
501250,273
501251,250
501252,297
501253,334
501254,359
501255,194
501256,260
501257,311
501258,195
501259,274
501260,353
501261,293
501262,237
501263,267
501264,314
501265,56
501266,257
501267,353
501268,352
501269,295
501270,327
501271,352
548306,227
548307,197
548308,230
548309,351
548310,294
548311,312
548312,306
548313,310
548314,280
548315,288
548316,221
548317,367
548318,413
548319,231
548320,268
548321,319
548322,311
548323,266
548324,331
548325,185
548326,393
548327,368
548328,251
548329,380
548330,315
548331,329
548332,293
548333,364
548334,327
548335,253
548336,332
548337,294
548339,339
548341,336
548342,377
548343,305
548344,333
548345,303
548346,201
548347,279
548348,359
548349,285
548350,321
548351,239
548352,310
548353,293
548354,311
548355,347
548356,366
548357,307
548358,251
548359,315
548360,283
548361,253
548362,311
548363,337
548364,229
548365,295
548366,384
548367,344
548368,318
548369,276
548370,248
548371,243
548372,409
548373,254
548374,286
548375,238
548376,255
548377,325
548378,306
548379,336
548380,358
548381,382
597998,257
597999,310
598000,230
598001,325
598002,287
598003,199
598004,295
598005,269
598006,374
598007,277
598008,312
