match_id,batting_team,total_runs
335982,Kolkata Knight Riders,222
335982,Royal Challengers Bangalore,82
335983,Chennai Super Kings,240
335983,Kings XI Punjab,207
335984,Delhi Daredevils,132
335984,Rajasthan Royals,129
335985,Mumbai Indians,165
335985,Royal Challengers Bangalore,166
335986,Deccan Chargers,110
335986,Kolkata Knight Riders,112
335987,Kings XI Punjab,166
335987,Rajasthan Royals,168
335988,Deccan Chargers,142
335988,Delhi Daredevils,143
335989,Chennai Super Kings,208
335989,Mumbai Indians,202
335990,Deccan Chargers,214
335990,Rajasthan Royals,217
335991,Kings XI Punjab,182
335991,Mumbai Indians,116
335992,Rajasthan Royals,138
335992,Royal Challengers Bangalore,135
335993,Chennai Super Kings,152
335993,Kolkata Knight Riders,147
335994,Deccan Chargers,155
335994,Mumbai Indians,154
335995,Delhi Daredevils,158
335995,Kings XI Punjab,162
335996,Chennai Super Kings,178
335996,Royal Challengers Bangalore,165
335997,Kolkata Knight Riders,137
335997,Mumbai Indians,138
335998,Delhi Daredevils,191
335998,Royal Challengers Bangalore,181
335999,Deccan Chargers,164
335999,Kings XI Punjab,167
336000,Kolkata Knight Riders,151
336000,Rajasthan Royals,196
336001,Chennai Super Kings,169
336001,Delhi Daredevils,172
336002,Deccan Chargers,165
336002,Royal Challengers Bangalore,171
336003,Kings XI Punjab,178
336003,Kolkata Knight Riders,169
336004,Delhi Daredevils,133
336004,Mumbai Indians,162
336005,Chennai Super Kings,109
336005,Rajasthan Royals,110
336006,Kings XI Punjab,127
336006,Royal Challengers Bangalore,126
336007,Chennai Super Kings,144
336007,Deccan Chargers,148
336008,Mumbai Indians,104
336008,Rajasthan Royals,103
336009,Chennai Super Kings,188
336009,Delhi Daredevils,187
336010,Kolkata Knight Riders,129
336010,Royal Challengers Bangalore,124
336011,Deccan Chargers,140
336011,Rajasthan Royals,141
336012,Mumbai Indians,126
336012,Royal Challengers Bangalore,122
336013,Chennai Super Kings,181
336013,Kings XI Punjab,163
336014,Deccan Chargers,181
336014,Kolkata Knight Riders,204
336015,Delhi Daredevils,156
336015,Rajasthan Royals,159
336016,Kings XI Punjab,144
336016,Royal Challengers Bangalore,143
336017,Delhi Daredevils,110
336017,Kolkata Knight Riders,133
336018,Chennai Super Kings,156
336018,Mumbai Indians,158
336019,Kings XI Punjab,221
336019,Rajasthan Royals,180
336020,Deccan Chargers,182
336020,Delhi Daredevils,194
336021,Kolkata Knight Riders,67
336021,Mumbai Indians,68
336022,Delhi Daredevils,118
336022,Kings XI Punjab,94
336023,Rajasthan Royals,197
336023,Royal Challengers Bangalore,132
336024,Deccan Chargers,153
336024,Mumbai Indians,178
336025,Chennai Super Kings,55
336025,Kolkata Knight Riders,149
336026,Delhi Daredevils,158
336026,Royal Challengers Bangalore,154
336027,Kolkata Knight Riders,147
336027,Rajasthan Royals,150
336028,Kings XI Punjab,189
336028,Mumbai Indians,188
336029,Chennai Super Kings,112
336029,Royal Challengers Bangalore,126
336031,Deccan Chargers,175
336031,Kings XI Punjab,178
336032,Delhi Daredevils,179
336032,Mumbai Indians,176
336033,Chennai Super Kings,201
336033,Rajasthan Royals,211
